method1,method2,sample,unifrac
open_reference,open_reference,sample112,
closed_reference,open_reference,sample113,0.17258636290264665
open_reference,closed_reference,sample113,0.17258636290264665
closed_reference,closed_reference,sample113,
open_reference,open_reference,sample113,
closed_reference,open_reference,sample114,0.1679455371244848
open_reference,closed_reference,sample114,0.1679455371244848
closed_reference,closed_reference,sample114,
open_reference,open_reference,sample114,
closed_reference,open_reference,sample115,0.2556425889702403
open_reference,closed_reference,sample115,0.2556425889702403
closed_reference,closed_reference,sample115,
open_reference,open_reference,sample115,
closed_reference,open_reference,sample072,0.27262689477766805
open_reference,closed_reference,sample072,0.27262689477766805
closed_reference,closed_reference,sample072,
open_reference,open_reference,sample072,
closed_reference,open_reference,sample073,0.1517709622313256
open_reference,closed_reference,sample073,0.1517709622313256
closed_reference,closed_reference,sample073,
open_reference,open_reference,sample073,
open_reference,dada2,sample105,0.07587005602703374
dada2,open_reference,sample105,0.07587005602703374
open_reference,open_reference,sample105,
dada2,dada2,sample105,
open_reference,dada2,sample103,0.050163994475153614
dada2,open_reference,sample103,0.050163994475153614
open_reference,open_reference,sample103,
dada2,dada2,sample103,
open_reference,dada2,sample074,0.10958597883959574
dada2,open_reference,sample074,0.10958597883959574
open_reference,open_reference,sample074,
dada2,dada2,sample074,
open_reference,dada2,sample075,0.059404987568419096
dada2,open_reference,sample075,0.059404987568419096
open_reference,open_reference,sample075,
dada2,dada2,sample075,
open_reference,dada2,sample076,0.16522883286522208
dada2,open_reference,sample076,0.16522883286522208
open_reference,open_reference,sample076,
dada2,dada2,sample076,
open_reference,dada2,sample077,0.09355904139267442
dada2,open_reference,sample077,0.09355904139267442
open_reference,open_reference,sample077,
dada2,dada2,sample077,
open_reference,dada2,sample078,0.08801476136592189
dada2,open_reference,sample078,0.08801476136592189
open_reference,open_reference,sample078,
dada2,dada2,sample078,
open_reference,dada2,sample079,0.05797701360879849
dada2,open_reference,sample079,0.05797701360879849
open_reference,open_reference,sample079,
dada2,dada2,sample079,
open_reference,dada2,sample080,0.10752527086452461
dada2,open_reference,sample080,0.10752527086452461
open_reference,open_reference,sample080,
dada2,dada2,sample080,
open_reference,dada2,sample081,0.04576245007136702
dada2,open_reference,sample081,0.04576245007136702
open_reference,open_reference,sample081,
dada2,dada2,sample081,
open_reference,dada2,sample082,0.12843131758268309
dada2,open_reference,sample082,0.12843131758268309
open_reference,open_reference,sample082,
dada2,dada2,sample082,
open_reference,dada2,sample083,0.07568930960587338
dada2,open_reference,sample083,0.07568930960587338
open_reference,open_reference,sample083,
dada2,dada2,sample083,
open_reference,dada2,sample084,0.03721000591396425
dada2,open_reference,sample084,0.03721000591396425
open_reference,open_reference,sample084,
dada2,dada2,sample084,
open_reference,dada2,sample085,0.17938618226010816
dada2,open_reference,sample085,0.17938618226010816
open_reference,open_reference,sample085,
dada2,dada2,sample085,
open_reference,dada2,sample086,0.06794175713524238
dada2,open_reference,sample086,0.06794175713524238
open_reference,open_reference,sample086,
dada2,dada2,sample086,
open_reference,dada2,sample087,0.18028355990268027
dada2,open_reference,sample087,0.18028355990268027
open_reference,open_reference,sample087,
dada2,dada2,sample087,
open_reference,dada2,sample088,0.2678888966451368
dada2,open_reference,sample088,0.2678888966451368
open_reference,open_reference,sample088,
dada2,dada2,sample088,
open_reference,dada2,sample089,0.21196436195504753
dada2,open_reference,sample089,0.21196436195504753
open_reference,open_reference,sample089,
dada2,dada2,sample089,
open_reference,dada2,sample090,0.042666599190195394
dada2,open_reference,sample090,0.042666599190195394
open_reference,open_reference,sample090,
dada2,dada2,sample090,
open_reference,dada2,sample091,0.10818539951212348
dada2,open_reference,sample091,0.10818539951212348
open_reference,open_reference,sample091,
dada2,dada2,sample091,
open_reference,dada2,sample092,0.12327062763404002
dada2,open_reference,sample092,0.12327062763404002
open_reference,open_reference,sample092,
dada2,dada2,sample092,
open_reference,dada2,sample093,0.11059939105732407
dada2,open_reference,sample093,0.11059939105732407
open_reference,open_reference,sample093,
dada2,dada2,sample093,
open_reference,dada2,sample094,0.04296290760942265
dada2,open_reference,sample094,0.04296290760942265
open_reference,open_reference,sample094,
dada2,dada2,sample094,
open_reference,dada2,sample095,0.09289395955439533
dada2,open_reference,sample095,0.09289395955439533
open_reference,open_reference,sample095,
dada2,dada2,sample095,
open_reference,dada2,sample096,0.07436029244996667
dada2,open_reference,sample096,0.07436029244996667
open_reference,open_reference,sample096,
dada2,dada2,sample096,
open_reference,dada2,sample097,0.055755411908655274
dada2,open_reference,sample097,0.055755411908655274
open_reference,open_reference,sample097,
dada2,dada2,sample097,
open_reference,dada2,sample098,0.04336677144668384
dada2,open_reference,sample098,0.04336677144668384
open_reference,open_reference,sample098,
dada2,dada2,sample098,
open_reference,dada2,sample099,0.1316315407628111
dada2,open_reference,sample099,0.1316315407628111
open_reference,open_reference,sample099,
dada2,dada2,sample099,
open_reference,dada2,sample100,0.10921202656669399
dada2,open_reference,sample100,0.10921202656669399
open_reference,open_reference,sample100,
dada2,dada2,sample100,
open_reference,dada2,sample101,0.03465332365023716
dada2,open_reference,sample101,0.03465332365023716
open_reference,open_reference,sample101,
dada2,dada2,sample101,
open_reference,dada2,sample102,0.0852113126109483
dada2,open_reference,sample102,0.0852113126109483
open_reference,open_reference,sample102,
dada2,dada2,sample102,
open_reference,dada2,sample104,0.1244095443048416
dada2,open_reference,sample104,0.1244095443048416
open_reference,open_reference,sample104,
dada2,dada2,sample104,
open_reference,dada2,sample106,0.05628439892599574
dada2,open_reference,sample106,0.05628439892599574
open_reference,open_reference,sample106,
dada2,dada2,sample106,
open_reference,dada2,sample107,0.06789286325869043
dada2,open_reference,sample107,0.06789286325869043
open_reference,open_reference,sample107,
dada2,dada2,sample107,
open_reference,dada2,sample108,0.03466587962854624
dada2,open_reference,sample108,0.03466587962854624
open_reference,open_reference,sample108,
dada2,dada2,sample108,
open_reference,dada2,sample109,0.061383510374117156
dada2,open_reference,sample109,0.061383510374117156
open_reference,open_reference,sample109,
dada2,dada2,sample109,
open_reference,dada2,sample110,0.05125900952004089
dada2,open_reference,sample110,0.05125900952004089
open_reference,open_reference,sample110,
dada2,dada2,sample110,
open_reference,dada2,sample111,0.0988927234307367
dada2,open_reference,sample111,0.0988927234307367
open_reference,open_reference,sample111,
dada2,dada2,sample111,
open_reference,dada2,sample112,0.08076861847138943
dada2,open_reference,sample112,0.08076861847138943
open_reference,open_reference,sample112,
dada2,dada2,sample112,
open_reference,dada2,sample113,0.07400051582753499
dada2,open_reference,sample113,0.07400051582753499
open_reference,open_reference,sample113,
dada2,dada2,sample113,
open_reference,dada2,sample114,0.04020037139732886
dada2,open_reference,sample114,0.04020037139732886
open_reference,open_reference,sample114,
dada2,dada2,sample114,
open_reference,dada2,sample115,0.03973425215469581
dada2,open_reference,sample115,0.03973425215469581
open_reference,open_reference,sample115,
dada2,dada2,sample115,
open_reference,dada2,sample072,0.0753016472188052
dada2,open_reference,sample072,0.0753016472188052
open_reference,open_reference,sample072,
dada2,dada2,sample072,
open_reference,dada2,sample073,0.08405628644342604
dada2,open_reference,sample073,0.08405628644342604
open_reference,open_reference,sample073,
