OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
398,Actinobacteria,Actinomycetaceae,Actinomyces,Bacteria,Actinomycetales,Actinobacteria,unknown,4.0,
399,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,4.0,
400,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,4.0,
401,Clostridia,Clostridiaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,4.0,
402,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,4.0,
403,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,4.0,
404,Actinobacteria,Micrococcaceae,Micrococcus,Bacteria,Micrococcales,Actinobacteria,unknown,3.0,
405,Flavobacteriia,Flavobacteriaceae,Flavobacterium,Bacteria,Flavobacteriales,Bacteroidetes,unknown,3.0,
406,Actinobacteria,unknown,unknown,Bacteria,unknown,Actinobacteria,unknown,3.0,
407,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
408,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,3.0,
409,Bacilli,Bacillaceae,Bacillus,Bacteria,Bacillales,Firmicutes,unknown,3.0,
410,Deltaproteobacteria,Desulfovibrionaceae,Desulfovibrio,Bacteria,Desulfovibrionales,Proteobacteria,unknown,3.0,
411,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
412,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
413,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
414,Clostridia,Lachnospiraceae,Lachnoclostridium,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
415,Alphaproteobacteria,Caulobacteraceae,Brevundimonas,Bacteria,Caulobacterales,Proteobacteria,unknown,3.0,
416,Tissierellia,Peptoniphilaceae,Peptoniphilus,Bacteria,Tissierellales,Firmicutes,unknown,3.0,
417,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
418,Sphingobacteriia,Sphingobacteriaceae,Pedobacter,Bacteria,Sphingobacteriales,Bacteroidetes,unknown,3.0,
419,Clostridia,Clostridiaceae,Clostridium,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
420,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
421,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
422,Erysipelotrichia,Erysipelotrichaceae,unknown,Bacteria,Erysipelotrichales,Firmicutes,unknown,3.0,
423,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
424,Alphaproteobacteria,Acetobacteraceae,Acetobacter,Bacteria,Rhodospirillales,Proteobacteria,unknown,3.0,
425,Bacilli,Alicyclobacillaceae,Alicyclobacillus,Bacteria,Bacillales,Firmicutes,unknown,3.0,
426,Bacilli,Staphylococcaceae,Staphylococcus,Bacteria,Bacillales,Firmicutes,unknown,3.0,
427,Clostridia,Hungateiclostridiaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
428,Tissierellia,Peptoniphilaceae,Peptoniphilus,Bacteria,Tissierellales,Firmicutes,unknown,3.0,
429,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
430,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
431,Tissierellia,Peptoniphilaceae,Peptoniphilus,Bacteria,Tissierellales,Firmicutes,unknown,3.0,
432,Clostridia,Eubacteriaceae,Acetobacterium,Bacteria,Clostridiales,Firmicutes,unknown,3.0,
433,Coriobacteriia,Eggerthellaceae,unknown,Bacteria,Eggerthellales,Actinobacteria,unknown,2.0,
434,Flavobacteriia,Flavobacteriaceae,unknown,Bacteria,Flavobacteriales,Bacteroidetes,unknown,2.0,
435,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,2.0,
436,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,2.0,
437,unknown,Oscillatoriaceae,unknown,Bacteria,Oscillatoriales,Cyanobacteria,unknown,2.0,
438,Actinobacteria,Propionibacteriaceae,unknown,Bacteria,Propionibacteriales,Actinobacteria,unknown,2.0,
439,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,2.0,
440,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,2.0,
441,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,2.0,
442,Clostridia,Clostridiales Family XIII. Incertae Sedis,unknown,Bacteria,Clostridiales,Firmicutes,unknown,2.0,
443,Tissierellia,Peptoniphilaceae,Peptoniphilus,Bacteria,Tissierellales,Firmicutes,unknown,2.0,
444,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,2.0,
445,Alphaproteobacteria,Rhodobacteraceae,unknown,Bacteria,Rhodobacterales,Proteobacteria,unknown,2.0,
446,Gammaproteobacteria,unknown,unknown,Bacteria,unknown,Proteobacteria,unknown,2.0,
447,Erysipelotrichia,Erysipelotrichaceae,Erysipelothrix,Bacteria,Erysipelotrichales,Firmicutes,unknown,2.0,
448,Coriobacteriia,Eggerthellaceae,Slackia,Bacteria,Eggerthellales,Actinobacteria,unknown,2.0,
449,Bacteroidia,Prevotellaceae,Prevotella,Bacteria,Bacteroidales,Bacteroidetes,unknown,2.0,
