task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1082	02/db67d7	35283	network_inference_workflow:spring_workflow:spring (fmt-autism)	CACHED	0	2022-03-30 15:29:45.457	3m 18s	3m 5s	95.2%	339.6 MB	668.7 MB	24.4 MB	49.3 KB
1077	35/12bb8c	35185	network_inference_workflow:spring_workflow:spring (fmt-autism)	CACHED	0	2022-03-30 20:31:20.893	2m 34s	2m 20s	94.0%	321.1 MB	654 MB	24.4 MB	35 KB
1078	dd/fce0a2	32379	network_inference_workflow:harmonies_workflow:harmonies (fmt-control)	CACHED	0	2022-03-29 07:13:16.571	33m 17s	33m 4s	78.2%	322.3 MB	516.8 MB	28.1 MB	16.3 KB
1067	36/ebb93c	14438	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 12:35:49.995	6.6s	5.5s	38.1%	102.6 MB	398 MB	44.2 MB	204.4 KB
1080	1e/26e526	5709	network_inference_workflow:spring_workflow:spring (fmt-control)	CACHED	0	2022-03-30 21:12:25.153	27m 26s	27m 13s	95.2%	401.9 MB	734.2 MB	24.5 MB	189.6 KB
1086	e2/4e5967	10113	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-autism)	CACHED	0	2022-03-30 20:33:38.277	1m 12s	57.5s	97.8%	249 MB	505.4 MB	19.9 MB	26.8 KB
1069	c7/8a36dd	35941	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 04:11:15.857	7.9s	6.3s	24.2%	99.8 MB	394.5 MB	26 MB	45.5 KB
1088	ea/7e0fe9	15416	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-control)	CACHED	0	2022-03-29 07:11:32.309	1m 18s	1m 4s	71.8%	230.1 MB	488.3 MB	19.9 MB	8.3 KB
1071	97/77a4c7	28420	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-29 23:00:19.800	8s	6.9s	25.7%	100 MB	395.8 MB	30.9 MB	123.1 KB
1092	84/fa0a44	17529	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-control)	CACHED	0	2022-03-30 14:23:20.289	1m 41s	1m 29s	92.8%	360.2 MB	615.2 MB	20 MB	66 KB
1094	a3/9ae8ff	14371	network_inference_workflow:harmonies_workflow:harmonies (fmt-control)	CACHED	0	2022-03-29 07:18:52.232	32m 41s	32m 27s	80.0%	320.4 MB	516.7 MB	28.1 MB	16.4 KB
1090	15/8123ab	26371	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-control)	CACHED	0	2022-03-30 21:10:13.220	3m 11s	2m 57s	95.9%	398.9 MB	657.5 MB	20.1 MB	166.3 KB
1097	66/217830	3431	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-autism)	CACHED	0	2022-03-30 15:30:27.853	1m 24s	1m 12s	94.2%	274.4 MB	532.5 MB	19.9 MB	38.6 KB
1075	18/323d1c	23462	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 03:56:42.287	8.5s	7.4s	23.8%	101 MB	396.5 MB	31.2 MB	95.9 KB
1098	e2/b2d581	26601	network_inference_workflow:harmonies_workflow:harmonies (fmt-control)	CACHED	0	2022-03-30 21:05:18.069	2h 19m 16s	2h 19m 2s	90.7%	848.9 MB	1 GB	28.2 MB	119.5 KB
1076	e1/3856d0	31794	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-29 07:46:33.951	4.2s	3.3s	43.4%	99.7 MB	394.5 MB	24.5 MB	34.5 KB
1083	62/1ae839	7818	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 03:57:46.604	6.7s	5.6s	24.8%	100.1 MB	394.8 MB	26 MB	43.8 KB
1085	34/c231fe	13162	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-31 13:55:09.184	6s	5s	33.7%	101 MB	396.5 MB	32.6 MB	97 KB
1100	8c/e2ad6b	23394	network_inference_workflow:harmonies_workflow:harmonies (fmt-autism)	CACHED	0	2022-03-30 20:17:13.893	11m 35s	11m 21s	94.8%	273.8 MB	470.1 MB	28.1 MB	7.9 KB
1101	9c/ddefa7	27042	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-autism)	CACHED	0	2022-03-30 15:19:51.749	1m 8s	53.9s	85.0%	230.9 MB	489.2 MB	19.9 MB	8.8 KB
1084	5a/2e7bc2	34561	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-29 23:00:40.419	7.2s	6.3s	32.7%	103.3 MB	398.4 MB	42 MB	250.6 KB
1102	d0/c94e78	25571	network_inference_workflow:harmonies_workflow:harmonies (fmt-control)	CACHED	0	2022-03-30 21:15:27.955	1h 10m 28s	1h 10m 14s	95.9%	425.1 MB	621.3 MB	28.2 MB	35.6 KB
1105	3f/5766ec	24316	network_inference_workflow:harmonies_workflow:harmonies (fmt-autism)	CACHED	0	2022-03-30 20:29:43.316	23m 28s	23m 17s	94.9%	346.4 MB	541.3 MB	28.1 MB	28.2 KB
1087	ca/d4adc1	11234	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-31 13:52:29.937	5.5s	4.3s	36.7%	100.1 MB	395.8 MB	32.6 MB	87.6 KB
1089	3f/6fac6f	20723	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-29 13:56:06.246	9.6s	8.6s	25.0%	104.4 MB	401.4 MB	49.9 MB	241.2 KB
1104	90/de52f0	5365	network_inference_workflow:harmonies_workflow:harmonies (fmt-control)	CACHED	0	2022-03-30 14:40:21.706	35m 39s	35m 25s	95.0%	282 MB	476.6 MB	28.1 MB	11.3 KB
1103	e4/b79ce6	28389	network_inference_workflow:harmonies_workflow:harmonies (fmt-autism)	CACHED	0	2022-03-30 20:59:53.411	26m 40s	26m 27s	95.9%	282.3 MB	476.7 MB	28.1 MB	39.3 KB
1091	2e/9f5132	5103	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 13:07:30.938	5.2s	4.1s	38.4%	100.4 MB	396 MB	34.1 MB	176.6 KB
1093	2d/9757e6	15240	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-31 13:35:06.602	5.2s	4.1s	39.2%	100.3 MB	395.8 MB	35.4 MB	99.7 KB
1108	3f/7da90e	15879	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-control)	CACHED	0	2022-03-30 14:48:07.071	1m 18s	1m 5s	94.9%	271 MB	526.1 MB	20 MB	34.9 KB
1096	e2/4e6617	19590	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-30 23:55:21.156	8.3s	7.4s	26.9%	102.5 MB	397.5 MB	43.4 MB	230.3 KB
1095	37/750d02	34325	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-29 07:48:16.082	4.5s	3.5s	37.7%	99.9 MB	394.5 MB	27.1 MB	49.6 KB
1109	dc/da57b4	28757	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-autism)	CACHED	0	2022-03-30 11:07:14.839	1m 1s	48.4s	92.9%	232.8 MB	489.2 MB	19.9 MB	7.7 KB
1111	e7/0c9278	30887	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-autism)	CACHED	0	2022-03-30 11:12:19.741	1m 10s	56.5s	88.3%	259.5 MB	516.1 MB	19.9 MB	15.3 KB
1099	2a/aaa0aa	4449	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-31 14:10:32.958	10s	8.7s	31.6%	109.2 MB	408.4 MB	62.7 MB	487.6 KB
1113	78/f6f6bd	30464	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-control)	CACHED	0	2022-03-31 09:37:21.887	1m 10s	57s	80.4%	230.1 MB	488.4 MB	19.9 MB	12 KB
1107	16/0dd5f1	1864	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 00:00:26.918	8.3s	7.3s	30.2%	102 MB	401.1 MB	43.4 MB	281.3 KB
1115	2e/22fbe2	7756	network_inference_workflow:harmonies_workflow:harmonies (fmt-control)	CACHED	0	2022-03-30 21:07:42.247	3h 30m 43s	3h 30m 30s	75.6%	2 GB	2.2 GB	28.3 MB	186 KB
1116	cb/2c6ff8	21669	network_inference_workflow:harmonies_workflow:harmonies (fmt-control)	CACHED	0	2022-03-30 14:23:43.160	1h 25m 45s	1h 25m 31s	94.9%	400.3 MB	596.7 MB	28.2 MB	71.4 KB
1106	c3/fcb31a	23951	network_inference_workflow:harmonies_workflow:harmonies (fmt-control)	CACHED	0	2022-03-29 07:12:30.034	24m 56s	24m 42s	77.0%	310.6 MB	506.7 MB	28.1 MB	9.1 KB
1112	c3/c84210	7419	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-autism)	CACHED	0	2022-03-30 11:04:57.301	1m 9s	55.9s	90.7%	281.6 MB	537.9 MB	19.9 MB	15.5 KB
1117	ea/66e91b	20533	network_inference_workflow:harmonies_workflow:harmonies (fmt-autism)	CACHED	0	2022-03-30 15:26:44.519	28m 12s	27m 58s	93.5%	317.6 MB	513.9 MB	28.1 MB	42.4 KB
1110	ed/e9ea6b	36078	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-29 07:50:13.557	4.4s	3.5s	42.6%	99.9 MB	394.5 MB	27.1 MB	44 KB
1114	3e/94e781	35267	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-31 13:54:17.138	5.4s	4.4s	35.4%	100.4 MB	395.8 MB	35.4 MB	125.4 KB
