task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
169	a9/6323da	16069	network_inference_workflow:pearson_workflow:resample (hub_zinegbin)	CACHED	0	2021-12-02 17:32:59.756	24.1s	23.3s	70.7%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
175	e4/3b00f3	36429	network_inference_workflow:spearman_workflow:resample (block_pois)	CACHED	0	2021-12-02 17:29:38.132	24s	23.2s	72.6%	7.4 MB	299.6 MB	3.6 MB	278.4 MB
95	f8/8f4c49	8020	network_inference_workflow:spearman_workflow:resample (erdos_renyi_pois)	CACHED	0	2021-12-02 17:33:47.675	25.8s	24.9s	67.0%	7.4 MB	299.6 MB	3.6 MB	278.5 MB
142	d5/ffb738	2145	network_inference_workflow:sparcc_workflow:resample (erdos_renyi_zinegbin)	CACHED	0	2021-12-02 17:29:07.226	23.1s	21.8s	76.1%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
145	08/1e7f39	1926	network_inference_workflow:pearson_workflow:resample (erdos_renyi_zinegbin)	CACHED	0	2021-12-02 17:29:06.971	23.2s	21.6s	76.4%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
41	78/dd434f	2158	network_inference_workflow:propr_workflow:resample (scale_free_pois)	CACHED	0	2021-12-02 17:31:23.454	25.9s	25s	67.4%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
22	fe/7ddb13	31560	network_inference_workflow:pearson_workflow:resample (block_zinegbin)	CACHED	0	2021-12-02 17:36:39.140	24.7s	23.8s	68.6%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
12	ad/595843	25387	network_inference_workflow:pearson_workflow:resample (cluster_zinegbin)	CACHED	0	2021-12-02 17:29:15.333	22.7s	21.8s	75.7%	7.5 MB	299.6 MB	3.6 MB	275.5 MB
133	53/bb28f5	32673	network_inference_workflow:propr_workflow:resample (hub_negbin)	CACHED	0	2021-12-02 17:32:22.730	23.1s	22.2s	69.7%	7.5 MB	299.6 MB	3.6 MB	267.2 MB
124	99/c0a7d0	21775	network_inference_workflow:sparcc_workflow:resample (band_negbin)	CACHED	0	2021-12-02 17:29:53.129	20.6s	19.6s	78.8%	7.5 MB	299.6 MB	3.6 MB	267.1 MB
172	0f/9b2e56	15597	network_inference_workflow:sparcc_workflow:resample (block_pois)	CACHED	0	2021-12-02 17:29:29.128	22.6s	21.7s	77.8%	7.5 MB	299.6 MB	3.6 MB	278.4 MB
43	0d/b38d6e	25879	network_inference_workflow:sparcc_workflow:resample (scale_free_pois)	CACHED	0	2021-12-02 17:29:15.453	23s	22.2s	75.8%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
138	c0/ac45ac	1933	network_inference_workflow:sparcc_workflow:resample (hub_negbin)	CACHED	0	2021-12-02 17:29:06.980	22.1s	20.6s	75.6%	7.4 MB	299.6 MB	3.6 MB	267.2 MB
118	cd/56fe16	34699	network_inference_workflow:propr_workflow:resample (band_zinegbin)	CACHED	0	2021-12-02 17:32:26.289	23.7s	22.9s	71.9%	7.5 MB	299.6 MB	3.6 MB	275.5 MB
125	85/512438	10631	network_inference_workflow:propr_workflow:resample (band_negbin)	CACHED	0	2021-12-02 17:31:37.184	24.3s	23.1s	67.4%	7.4 MB	299.6 MB	3.6 MB	267.1 MB
109	35/09e966	2051	network_inference_workflow:pearson_workflow:resample (hub_pois)	CACHED	0	2021-12-02 17:32:36.264	23.5s	22.6s	73.7%	7.4 MB	299.6 MB	3.6 MB	278.5 MB
103	d4/998a49	25403	network_inference_workflow:sparcc_workflow:resample (hub_pois)	CACHED	0	2021-12-02 17:33:19.443	24.4s	23.4s	71.4%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
48	c7/530ebd	9564	network_inference_workflow:pearson_workflow:resample (scale_free_pois)	CACHED	0	2021-12-02 17:32:48.495	24.3s	23.3s	71.9%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
66	7f/d6cbd4	7190	network_inference_workflow:pearson_workflow:resample (block_negbin)	CACHED	0	2021-12-02 17:32:45.838	22.3s	21.4s	72.1%	7.5 MB	299.6 MB	3.6 MB	267.1 MB
91	0b/efac99	2079	network_inference_workflow:pearson_workflow:resample (erdos_renyi_pois)	CACHED	0	2021-12-02 17:29:07.135	23.4s	22.1s	76.7%	7.4 MB	299.6 MB	3.6 MB	278.5 MB
38	7e/195842	14455	network_inference_workflow:spearman_workflow:resample (erdos_renyi_negbin)	CACHED	0	2021-12-02 17:29:28.797	21.7s	20.7s	75.0%	7.5 MB	299.6 MB	3.6 MB	267 MB
84	5b/8a5103	1906	network_inference_workflow:spearman_workflow:resample (band_pois)	CACHED	0	2021-12-02 17:29:06.942	23.6s	22s	76.6%	7.5 MB	299.6 MB	3.6 MB	278.4 MB
90	bb/8bfc9c	2715	network_inference_workflow:pearson_workflow:resample (band_pois)	CACHED	0	2021-12-02 17:32:38.507	23.3s	22.3s	75.0%	7.5 MB	299.6 MB	3.6 MB	278.4 MB
19	1f/aa72b2	34397	network_inference_workflow:pearson_workflow:resample (scale_free_negbin)	CACHED	0	2021-12-02 17:41:02.578	22.7s	21.9s	69.9%	7.5 MB	299.6 MB	3.6 MB	267.1 MB
176	85/e6217e	1961	network_inference_workflow:pearson_workflow:resample (block_pois)	CACHED	0	2021-12-02 17:29:07.009	23.4s	21.9s	77.0%	7.5 MB	299.6 MB	3.6 MB	278.4 MB
80	6c/9ff9c4	2071	network_inference_workflow:sparcc_workflow:resample (cluster_pois)	CACHED	0	2021-12-02 17:29:07.129	23.3s	22s	76.8%	7.4 MB	299.6 MB	3.6 MB	278.5 MB
4	f8/5cce2f	1951	network_inference_workflow:sparcc_workflow:resample (scale_free_negbin)	CACHED	0	2021-12-02 17:29:07.001	22.4s	20.9s	74.5%	7.4 MB	299.6 MB	3.6 MB	267.1 MB
30	30/6e7e53	24322	network_inference_workflow:sparcc_workflow:resample (block_zinegbin)	CACHED	0	2021-12-02 17:30:49.896	26.1s	24.9s	65.9%	7.4 MB	299.6 MB	3.6 MB	275.4 MB
57	3d/4d21aa	20761	network_inference_workflow:propr_workflow:resample (cluster_negbin)	CACHED	0	2021-12-02 17:29:30.581	21.2s	20.3s	76.6%	7.5 MB	299.6 MB	3.6 MB	267.2 MB
152	9d/9a70e7	20661	network_inference_workflow:propr_workflow:resample (scale_free_zinegbin)	CACHED	0	2021-12-02 17:29:30.441	22.7s	21.8s	76.0%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
83	61/928ff0	18757	network_inference_workflow:sparcc_workflow:resample (band_pois)	CACHED	0	2021-12-02 17:29:51.381	22.4s	21.6s	77.8%	7.5 MB	299.6 MB	3.6 MB	278.4 MB
107	c6/b20686	20161	network_inference_workflow:spearman_workflow:resample (hub_pois)	CACHED	0	2021-12-02 17:29:30.207	22.4s	21.6s	78.1%	7.4 MB	299.6 MB	3.6 MB	278.5 MB
60	9d/4eba53	1940	network_inference_workflow:sparcc_workflow:resample (block_negbin)	CACHED	0	2021-12-02 17:29:06.988	21.8s	20.3s	76.5%	7.4 MB	299.6 MB	3.6 MB	267.1 MB
74	fa/c3752e	13015	network_inference_workflow:pearson_workflow:resample (cluster_pois)	CACHED	0	2021-12-02 17:39:42.762	24.1s	23.2s	71.5%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
135	d3/eacc0e	10664	network_inference_workflow:spearman_workflow:resample (hub_negbin)	CACHED	0	2021-12-02 17:35:51.461	23s	22.1s	69.4%	7.5 MB	299.6 MB	3.6 MB	267.2 MB
36	cd/190398	9856	network_inference_workflow:pearson_workflow:resample (erdos_renyi_negbin)	CACHED	0	2021-12-02 17:35:48.812	23.1s	22.4s	68.6%	7.5 MB	299.6 MB	3.6 MB	267 MB
