Edges,Stool_genus_network
Bacteroides-Desulfovibrio-pos,0.178
Bacteroides-Lachnoclostridium-pos,0.173
Bacteroides-Odoribacter-pos,0.2315
Bacteroides-Enterobacterales-neg,0.0559
Bacteroides-Enterococcus-pos,0.079
Bacteroides-Firmicutes-pos,0.101
Bacteroides-Erysipelotrichaceae-pos,0.1861
Bacteroides-Unassigned-neg,0.0125
Bacteroides-Coriobacteriia-neg,0.1503
Bacteroides-Faecalicatena-pos,0.087
Bacteroides-Desulfosporosinus-neg,0.1027
Bacteroides-Burkholderiales-pos,0.1063
Bacteroides-Bacteroidia-pos,0.0926
Bacteroides-Collinsella-neg,0.1609
Bacteroides-Corynebacterium-pos,0.0571
Bacteroides-Clostridiales Family XIII. Incertae Sedis-neg,0.2061
Bacteroides-Bacteria-neg,0.1742
Bacteroides-Moorella-neg,0.1303
Bacteroides-Brucella-neg,0.082
Bacteroides-Dysgonomonas-pos,0.0497
Bacteroides-Porphyromonadaceae-pos,0.0577
Bacteroides-Planococcaceae-neg,0.2002
Bacteroides-Oceanobacillus-neg,0.2111
Bacteroides-Legionella-neg,0.1467
Bacteroides-Yersiniaceae-pos,0.0525
Bacteroides-Cronobacter-neg,0.1641
Bacteroides-Lactococcus-neg,0.0047
Bacteroides-Morganella-neg,0.0014
Bacteroides-Fusobacterium-neg,0.0726
Bacteroides-Kurthia-pos,0.0535
Bacteroides-Staphylococcaceae-neg,0.1546
Bacteroides-Methylobacterium-neg,0.0518
Bacteroides-Veillonella-pos,0.0735
Bacteroides-Acinetobacter-neg,0.0277
Bacteroides-Aeromonas-pos,0.0011
Bacteroides-Bacillaceae-pos,0.0587
Bacteroides-Clostridiaceae-pos,0.0001
Bacteroides-Peptoniphilus-neg,0.0478
Bacteroides-Dietzia-neg,0.0318
Bacteroides-Erysipelothrix-neg,0.0707
Bacteroides-Sporomusaceae-neg,0.2308
Bacteroides-Desulfuromonadaceae-neg,0.1421
Bacteroides-Anaerococcus-neg,0.1357
Bacteroides-Arcanobacterium-neg,0.0268
Bacteroides-Porphyromonas-neg,0.1387
Bacteroides-Brevibacillus-neg,0.1317
Bacteroides-Selenomonas-neg,0.0641
Bacteroides-Campylobacter-pos,0.0199
Bacteroides-Eggerthellaceae-neg,0.0327
Bacteroides-Ruminiclostridium-pos,0.0636
Bacteroides-Rhizobium-neg,0.0605
Bacteroides-Anaerobranca-pos,0.0875
Bacteroides-Domibacillus-neg,0.0273
Bacteroides-Actinomyces-neg,0.1439
Bacteroides-Paenibacillus-neg,0.1666
Bacteroides-Stenotrophomonas-neg,0.0676
Bacteroides-Eggerthella-neg,0.1254
Bacteroides-Acetobacter-neg,0.1302
Bacteroides-Acetobacterium-neg,0.107
Bacteroides-Flavobacterium-neg,0.071
Bacteroides-Actinobacteria-pos,0.001
Bacteroides-Pedobacter-neg,0.103
Bacteroides-Micrococcus-neg,0.0471
Bacteroides-Brevundimonas-neg,0.0835
Bacteroides-Slackia-neg,0.0364
Bacteroides-Gammaproteobacteria-neg,0.0245
Bacteroides-Rhodobacteraceae-neg,0.104
Bacteroides-Propionibacteriaceae-neg,0.0039
Bacteroides-Oscillatoriaceae-neg,0.1065
Bacteroides-Flavobacteriaceae-pos,0.1223
Ruminococcaceae-Roseburia-pos,0.5507
Ruminococcaceae-Klebsiella-neg,0.3375
Ruminococcaceae-Ruminococcus-pos,0.2854
Ruminococcaceae-Parabacteroides-pos,0.3835
Ruminococcaceae-Citrobacter-neg,0.1137
Ruminococcaceae-Alistipes-pos,0.3613
Ruminococcaceae-Verrucomicrobiaceae-pos,0.0121
Ruminococcaceae-Bacillus-neg,0.2082
Ruminococcaceae-Peptostreptococcaceae-pos,0.3509
Ruminococcaceae-Alicyclobacillus-pos,0.2932
Ruminococcaceae-Lachnospiraceae-pos,0.5787
Ruminococcaceae-Dialister-pos,0.0817
Ruminococcaceae-Blautia-pos,0.6595
Ruminococcaceae-Bifidobacterium-pos,0.2996
Ruminococcaceae-Clostridium-pos,0.0647
Ruminococcaceae-Prevotella-pos,0.2679
Ruminococcaceae-Acidaminococcaceae-pos,0.3191
Ruminococcaceae-Methanobrevibacter-neg,0.0859
Ruminococcaceae-Erysipelatoclostridium-pos,0.3379
Ruminococcaceae-Spiroplasma-pos,0.0483
Ruminococcaceae-Bacteroidales-pos,0.2151
Ruminococcaceae-Bacillales-pos,0.1719
Ruminococcaceae-Lysinibacillus-neg,0.2653
Ruminococcaceae-Clostridiales-pos,0.2804
Ruminococcaceae-Anaerostipes-pos,0.2761
Ruminococcaceae-Alphaproteobacteria-neg,0.0292
Ruminococcaceae-Hungateiclostridiaceae-pos,0.2827
Ruminococcaceae-Providencia-neg,0.1371
Ruminococcaceae-Pseudomonas-neg,0.1012
Ruminococcaceae-Staphylococcus-pos,0.1106
Ruminococcaceae-Haemophilus-pos,0.2687
Ruminococcaceae-Streptococcus-pos,0.179
Ruminococcaceae-Lactobacillus-pos,0.3622
Ruminococcaceae-Sphingomonas-neg,0.033
Ruminococcaceae-Desulfovibrio-pos,0.0636
Ruminococcaceae-Lachnoclostridium-pos,0.0699
Ruminococcaceae-Odoribacter-pos,0.0658
Ruminococcaceae-Enterobacterales-neg,0.218
Ruminococcaceae-Enterococcus-neg,0.0815
Ruminococcaceae-Firmicutes-pos,0.0933
Ruminococcaceae-Erysipelotrichaceae-pos,0.0548
Ruminococcaceae-Unassigned-neg,0.0003
Ruminococcaceae-Coriobacteriia-pos,0.0448
Ruminococcaceae-Faecalicatena-neg,0.1388
Ruminococcaceae-Desulfosporosinus-neg,0.1602
Ruminococcaceae-Burkholderiales-pos,0.0012
Ruminococcaceae-Bacteroidia-pos,0.0383
Ruminococcaceae-Collinsella-pos,0.0709
Ruminococcaceae-Corynebacterium-pos,0.0057
Ruminococcaceae-Clostridiales Family XIII. Incertae Sedis-pos,0.0163
Ruminococcaceae-Bacteria-neg,0.0398
Ruminococcaceae-Moorella-neg,0.0462
Ruminococcaceae-Brucella-neg,0.2306
Ruminococcaceae-Dysgonomonas-neg,0.1005
Ruminococcaceae-Porphyromonadaceae-pos,0.0499
Ruminococcaceae-Planococcaceae-neg,0.1752
Ruminococcaceae-Oceanobacillus-neg,0.1191
Ruminococcaceae-Legionella-neg,0.0947
Ruminococcaceae-Yersiniaceae-pos,0.0352
Ruminococcaceae-Cronobacter-neg,0.2277
Ruminococcaceae-Lactococcus-neg,0.0569
Ruminococcaceae-Morganella-neg,0.1119
Ruminococcaceae-Fusobacterium-neg,0.2064
Ruminococcaceae-Kurthia-neg,0.0312
Ruminococcaceae-Staphylococcaceae-neg,0.0158
Ruminococcaceae-Methylobacterium-neg,0.2268
Ruminococcaceae-Veillonella-pos,0.0574
Ruminococcaceae-Acinetobacter-neg,0.1372
Ruminococcaceae-Aeromonas-neg,0.1327
Ruminococcaceae-Bacillaceae-neg,0.0585
Ruminococcaceae-Clostridiaceae-neg,0.1349
Ruminococcaceae-Peptoniphilus-neg,0.0261
Ruminococcaceae-Dietzia-neg,0.1506
Ruminococcaceae-Erysipelothrix-neg,0.0653
Ruminococcaceae-Sporomusaceae-neg,0.0671
Ruminococcaceae-Desulfuromonadaceae-neg,0.0785
Ruminococcaceae-Anaerococcus-pos,0.0266
Ruminococcaceae-Arcanobacterium-neg,0.0901
Ruminococcaceae-Porphyromonas-neg,0.1405
Ruminococcaceae-Brevibacillus-neg,0.1389
Ruminococcaceae-Selenomonas-neg,0.0152
Ruminococcaceae-Campylobacter-neg,0.2007
Ruminococcaceae-Eggerthellaceae-neg,0.0644
Ruminococcaceae-Ruminiclostridium-pos,0.047
Ruminococcaceae-Rhizobium-neg,0.2144
Ruminococcaceae-Anaerobranca-neg,0.045
Ruminococcaceae-Domibacillus-neg,0.0819
Ruminococcaceae-Actinomyces-pos,0.0372
Ruminococcaceae-Paenibacillus-neg,0.199
Ruminococcaceae-Stenotrophomonas-neg,0.0758
Ruminococcaceae-Eggerthella-neg,0.0161
Ruminococcaceae-Acetobacter-neg,0.1512
Ruminococcaceae-Acetobacterium-neg,0.1353
Ruminococcaceae-Flavobacterium-neg,0.1847
Ruminococcaceae-Actinobacteria-neg,0.0789
Ruminococcaceae-Pedobacter-neg,0.1531
Ruminococcaceae-Micrococcus-neg,0.0828
Ruminococcaceae-Brevundimonas-neg,0.148
Ruminococcaceae-Slackia-pos,0.0207
Ruminococcaceae-Gammaproteobacteria-neg,0.0673
Ruminococcaceae-Rhodobacteraceae-pos,0.0045
Ruminococcaceae-Propionibacteriaceae-neg,0.0872
Ruminococcaceae-Oscillatoriaceae-neg,0.1621
Ruminococcaceae-Flavobacteriaceae-neg,0.0239
Roseburia-Klebsiella-neg,0.2291
Roseburia-Ruminococcus-pos,0.1094
Roseburia-Parabacteroides-pos,0.3162
Roseburia-Citrobacter-pos,0.0723
Roseburia-Alistipes-pos,0.2639
Roseburia-Verrucomicrobiaceae-neg,0.0846
Roseburia-Bacillus-neg,0.4054
Roseburia-Peptostreptococcaceae-neg,0.0251
Roseburia-Alicyclobacillus-pos,0.0734
Roseburia-Lachnospiraceae-pos,0.6853
Roseburia-Dialister-pos,0.2203
Roseburia-Blautia-pos,0.4995
Roseburia-Bifidobacterium-pos,0.2267
Roseburia-Clostridium-neg,0.1818
Roseburia-Prevotella-pos,0.1021
Roseburia-Acidaminococcaceae-pos,0.1676
Roseburia-Methanobrevibacter-neg,0.1951
Roseburia-Erysipelatoclostridium-pos,0.4102
Roseburia-Spiroplasma-neg,0.0107
Roseburia-Bacteroidales-pos,0.1335
Roseburia-Bacillales-neg,0.0879
Roseburia-Lysinibacillus-neg,0.2841
Roseburia-Clostridiales-pos,0.2077
Roseburia-Anaerostipes-pos,0.3423
Roseburia-Alphaproteobacteria-pos,0.1815
Roseburia-Hungateiclostridiaceae-pos,0.4231
Roseburia-Providencia-pos,0.0902
Roseburia-Pseudomonas-neg,0.0024
Roseburia-Staphylococcus-pos,0.0773
Roseburia-Haemophilus-pos,0.2525
Roseburia-Streptococcus-pos,0.2257
Roseburia-Lactobacillus-pos,0.1616
Roseburia-Sphingomonas-neg,0.0069
Roseburia-Desulfovibrio-neg,0.0195
Roseburia-Lachnoclostridium-pos,0.0996
Roseburia-Odoribacter-pos,0.0981
Roseburia-Enterobacterales-neg,0.2097
Roseburia-Enterococcus-pos,0.0967
Roseburia-Firmicutes-pos,0.1239
Roseburia-Erysipelotrichaceae-neg,0.0346
Roseburia-Unassigned-neg,0.0555
Roseburia-Coriobacteriia-neg,0.0488
Roseburia-Faecalicatena-neg,0.1229
Roseburia-Desulfosporosinus-neg,0.2749
Roseburia-Burkholderiales-pos,0.1054
Roseburia-Bacteroidia-neg,0.0054
Roseburia-Collinsella-pos,0.0479
Roseburia-Corynebacterium-pos,0.0752
Roseburia-Clostridiales Family XIII. Incertae Sedis-neg,0.1166
Roseburia-Bacteria-pos,0.055
Roseburia-Moorella-neg,0.0717
Roseburia-Brucella-neg,0.0214
Roseburia-Dysgonomonas-neg,0.0096
Roseburia-Porphyromonadaceae-pos,0.078
Roseburia-Planococcaceae-neg,0.2462
Roseburia-Oceanobacillus-neg,0.1495
Roseburia-Legionella-neg,0.0402
Roseburia-Yersiniaceae-pos,0.0283
Roseburia-Cronobacter-neg,0.1496
Roseburia-Lactococcus-pos,0.017
Roseburia-Morganella-neg,0.0523
Roseburia-Fusobacterium-neg,0.1536
Roseburia-Kurthia-neg,0.0145
Roseburia-Staphylococcaceae-neg,0.06
Roseburia-Methylobacterium-neg,0.0311
Roseburia-Veillonella-pos,0.1152
Roseburia-Acinetobacter-neg,0.1109
Roseburia-Aeromonas-pos,0.0394
Roseburia-Bacillaceae-neg,0.1586
Roseburia-Clostridiaceae-neg,0.0345
Roseburia-Peptoniphilus-neg,0.1791
Roseburia-Dietzia-neg,0.0325
Roseburia-Erysipelothrix-pos,0.0141
Roseburia-Sporomusaceae-neg,0.1343
Roseburia-Desulfuromonadaceae-neg,0.1696
Roseburia-Anaerococcus-pos,0.0632
Roseburia-Arcanobacterium-neg,0.0012
Roseburia-Porphyromonas-neg,0.2037
Roseburia-Brevibacillus-neg,0.2352
Roseburia-Selenomonas-pos,0.0528
Roseburia-Campylobacter-neg,0.2121
Roseburia-Eggerthellaceae-pos,0.0485
Roseburia-Ruminiclostridium-neg,0.0446
Roseburia-Rhizobium-neg,0.139
Roseburia-Anaerobranca-pos,0.0218
Roseburia-Domibacillus-neg,0.0557
Roseburia-Actinomyces-neg,0.0116
Roseburia-Paenibacillus-neg,0.2888
Roseburia-Stenotrophomonas-neg,0.1551
Roseburia-Eggerthella-pos,0.0055
Roseburia-Acetobacter-neg,0.0639
Roseburia-Acetobacterium-neg,0.1261
Roseburia-Flavobacterium-neg,0.0474
Roseburia-Actinobacteria-neg,0.0626
Roseburia-Pedobacter-neg,0.1081
Roseburia-Micrococcus-neg,0.0969
Roseburia-Brevundimonas-neg,0.0704
Roseburia-Slackia-neg,0.0296
Roseburia-Gammaproteobacteria-neg,0.0554
Roseburia-Rhodobacteraceae-neg,0.0325
Roseburia-Propionibacteriaceae-pos,0.024
Roseburia-Oscillatoriaceae-neg,0.1483
Roseburia-Flavobacteriaceae-neg,0.0628
Klebsiella-Ruminococcus-neg,0.2723
Klebsiella-Parabacteroides-neg,0.2963
Klebsiella-Citrobacter-pos,0.3553
Klebsiella-Alistipes-neg,0.3918
Klebsiella-Verrucomicrobiaceae-neg,0.2335
Klebsiella-Bacillus-pos,0.0729
Klebsiella-Peptostreptococcaceae-neg,0.1204
Klebsiella-Alicyclobacillus-neg,0.2022
Klebsiella-Lachnospiraceae-neg,0.3732
Klebsiella-Dialister-pos,0.1272
Klebsiella-Blautia-neg,0.1306
Klebsiella-Bifidobacterium-neg,0.3705
Klebsiella-Clostridium-neg,0.2375
Klebsiella-Prevotella-neg,0.2057
Klebsiella-Acidaminococcaceae-neg,0.466
Klebsiella-Methanobrevibacter-neg,0.0562
Klebsiella-Erysipelatoclostridium-neg,0.0642
Klebsiella-Spiroplasma-neg,0.1273
Klebsiella-Bacteroidales-neg,0.2537
Klebsiella-Bacillales-neg,0.0925
Klebsiella-Lysinibacillus-pos,0.2061
Klebsiella-Clostridiales-neg,0.1993
Klebsiella-Anaerostipes-neg,0.2225
Klebsiella-Alphaproteobacteria-pos,0.2281
Klebsiella-Hungateiclostridiaceae-neg,0.1549
Klebsiella-Providencia-pos,0.1816
Klebsiella-Pseudomonas-pos,0.0839
Klebsiella-Staphylococcus-pos,0.2555
Klebsiella-Haemophilus-neg,0.1081
Klebsiella-Streptococcus-neg,0.0202
Klebsiella-Lactobacillus-pos,0.0361
Klebsiella-Sphingomonas-pos,0.1601
Klebsiella-Desulfovibrio-neg,0.1937
Klebsiella-Lachnoclostridium-pos,0.009
Klebsiella-Odoribacter-pos,0.0511
Klebsiella-Enterobacterales-pos,0.1471
Klebsiella-Enterococcus-pos,0.3278
Klebsiella-Firmicutes-pos,0.0579
Klebsiella-Erysipelotrichaceae-neg,0.0536
Klebsiella-Unassigned-neg,0.0339
Klebsiella-Coriobacteriia-neg,0.1422
Klebsiella-Faecalicatena-neg,0.0682
Klebsiella-Desulfosporosinus-pos,0.0083
Klebsiella-Burkholderiales-neg,0.0251
Klebsiella-Bacteroidia-neg,0.0665
Klebsiella-Collinsella-neg,0.077
Klebsiella-Corynebacterium-pos,0.1764
Klebsiella-Clostridiales Family XIII. Incertae Sedis-neg,0.0109
Klebsiella-Bacteria-neg,0.0537
Klebsiella-Moorella-neg,0.0876
Klebsiella-Brucella-pos,0.2467
Klebsiella-Dysgonomonas-neg,0.0639
Klebsiella-Porphyromonadaceae-neg,0.116
Klebsiella-Planococcaceae-pos,0.0792
Klebsiella-Oceanobacillus-pos,0.3117
Klebsiella-Legionella-neg,0.0182
Klebsiella-Yersiniaceae-pos,0.0775
Klebsiella-Cronobacter-pos,0.1919
Klebsiella-Lactococcus-neg,0.0255
Klebsiella-Morganella-pos,0.1325
Klebsiella-Fusobacterium-pos,0.2327
Klebsiella-Kurthia-pos,0.1355
Klebsiella-Staphylococcaceae-neg,0.0944
Klebsiella-Methylobacterium-pos,0.2291
Klebsiella-Veillonella-pos,0.0508
Klebsiella-Acinetobacter-pos,0.0839
Klebsiella-Aeromonas-pos,0.0549
Klebsiella-Bacillaceae-pos,0.0935
Klebsiella-Clostridiaceae-pos,0.0228
Klebsiella-Peptoniphilus-pos,0.0713
Klebsiella-Dietzia-neg,0.028
Klebsiella-Erysipelothrix-pos,0.1329
Klebsiella-Sporomusaceae-pos,0.155
Klebsiella-Desulfuromonadaceae-neg,0.0291
Klebsiella-Anaerococcus-pos,0.1512
Klebsiella-Arcanobacterium-pos,0.1109
Klebsiella-Porphyromonas-neg,0.0505
Klebsiella-Brevibacillus-pos,0.0975
Klebsiella-Selenomonas-neg,0.0615
Klebsiella-Campylobacter-pos,0.078
Klebsiella-Eggerthellaceae-pos,0.0025
Klebsiella-Ruminiclostridium-pos,0.0724
Klebsiella-Rhizobium-pos,0.0669
Klebsiella-Anaerobranca-neg,0.0575
Klebsiella-Domibacillus-neg,0.0232
Klebsiella-Actinomyces-neg,0.049
Klebsiella-Paenibacillus-pos,0.1645
Klebsiella-Stenotrophomonas-pos,0.08
Klebsiella-Eggerthella-pos,0.0495
Klebsiella-Acetobacter-neg,0.0142
Klebsiella-Acetobacterium-pos,0.0346
Klebsiella-Flavobacterium-pos,0.1271
Klebsiella-Actinobacteria-pos,0.1134
Klebsiella-Pedobacter-pos,0.1295
Klebsiella-Micrococcus-pos,0.1274
Klebsiella-Brevundimonas-pos,0.1158
Klebsiella-Slackia-neg,0.0513
Klebsiella-Gammaproteobacteria-neg,0.066
Klebsiella-Rhodobacteraceae-pos,0.0262
Klebsiella-Propionibacteriaceae-pos,0.0336
Klebsiella-Oscillatoriaceae-pos,0.1013
Klebsiella-Flavobacteriaceae-pos,0.1104
Ruminococcus-Parabacteroides-pos,0.1566
Ruminococcus-Citrobacter-neg,0.5137
Ruminococcus-Alistipes-pos,0.4316
Ruminococcus-Verrucomicrobiaceae-pos,0.2749
Ruminococcus-Bacillus-pos,0.1922
Ruminococcus-Peptostreptococcaceae-pos,0.4023
Ruminococcus-Alicyclobacillus-pos,0.5769
Ruminococcus-Lachnospiraceae-pos,0.1691
Ruminococcus-Dialister-neg,0.1215
Ruminococcus-Blautia-pos,0.147
Ruminococcus-Bifidobacterium-pos,0.3751
Ruminococcus-Clostridium-pos,0.4392
Ruminococcus-Prevotella-pos,0.181
Ruminococcus-Acidaminococcaceae-pos,0.5158
Ruminococcus-Methanobrevibacter-pos,0.2903
Ruminococcus-Erysipelatoclostridium-neg,0.2291
Ruminococcus-Spiroplasma-pos,0.3994
Ruminococcus-Bacteroidales-pos,0.3166
Ruminococcus-Bacillales-pos,0.2688
Ruminococcus-Lysinibacillus-neg,0.1522
Ruminococcus-Clostridiales-pos,0.6544
Ruminococcus-Anaerostipes-pos,0.2461
Ruminococcus-Alphaproteobacteria-neg,0.3574
Ruminococcus-Hungateiclostridiaceae-pos,0.2005
Ruminococcus-Providencia-neg,0.3037
Ruminococcus-Pseudomonas-neg,0.1242
Ruminococcus-Staphylococcus-neg,0.0252
Ruminococcus-Haemophilus-neg,0.0136
Ruminococcus-Streptococcus-neg,0.0051
Ruminococcus-Lactobacillus-neg,0.1155
Ruminococcus-Sphingomonas-neg,0.2034
Ruminococcus-Desulfovibrio-pos,0.2876
Ruminococcus-Lachnoclostridium-neg,0.0269
Ruminococcus-Odoribacter-neg,0.1257
Ruminococcus-Enterobacterales-neg,0.2428
Ruminococcus-Enterococcus-neg,0.4413
Ruminococcus-Firmicutes-neg,0.1636
Ruminococcus-Erysipelotrichaceae-pos,0.099
Ruminococcus-Unassigned-neg,0.1458
Ruminococcus-Coriobacteriia-pos,0.2384
Ruminococcus-Faecalicatena-neg,0.0213
Ruminococcus-Desulfosporosinus-pos,0.2169
Ruminococcus-Burkholderiales-neg,0.0646
Ruminococcus-Bacteroidia-pos,0.0611
Ruminococcus-Collinsella-pos,0.0351
Ruminococcus-Corynebacterium-neg,0.3088
Ruminococcus-Clostridiales Family XIII. Incertae Sedis-pos,0.2004
Ruminococcus-Bacteria-neg,0.0519
Ruminococcus-Moorella-pos,0.1394
Ruminococcus-Brucella-neg,0.2863
Ruminococcus-Dysgonomonas-pos,0.1114
Ruminococcus-Porphyromonadaceae-neg,0.0585
Ruminococcus-Planococcaceae-neg,0.1242
