Feature ID	Taxon	Confidence
48fe450158dd56cb9e232a92ed59c68c	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__Spiroplasmataceae; g__Spiroplasma	0.9
14e5bc76eb89c574b800654364a9a6d2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium	0.9
e19ec752e1e51178d9c42d695c24688e	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	1.0
fd0568b68330a837e8fb9187ea4e2369	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
c12fd39e2a216175302cd15f04b27060	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9
fbdd0902547e731213774ae430eb3d6a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9
45985e4f73e1b004aead0241091a34d3	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
20eddffc010afd59a6a57cc1a8b2174d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7
8f5c26c15ec7240ad99d66469bcb58bb	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Hungateiclostridiaceae	0.8
f57b701d39ad023900a8b0b8afcb5cd7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Kurthia	0.8
7692a5ce9f1e8fc4d179319c8dc83dfa	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas	1.0
35c1e936720d7e385f02e3da2ec6789f	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium	1.0
3de3b1782d271730e13b73358f554278	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelatoclostridium	0.7
6a28468088fb24fd94e8e29cafe0aaf4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
a1ac30c992acfcb2b04e6d49cd713702	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	0.7
680954184588f515cdfafa96ee0bc465	k__Bacteria; p__Cyanobacteria; c__; o__Oscillatoriales; f__Oscillatoriaceae	0.6
02b9ae73bc368f975122c28e2a347513	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
fe437dbf6f413de277ea1f26f2ee91d7	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae	0.9
8701bea1e2e80de700c6f7848103f86d	k__Bacteria; p__Firmicutes	0.9
455bab4b7274ca67b6d45686e4f17291	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	1.0
07f482635d4161743e76c382a2455edb	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.8
ca247cdbef4269776901086e8acf48b1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Brucella	0.7
ab78bf0640561bc441d496ad29889d8a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
01901d6f4c906a71e2488045523ca7c2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales Family XIII. Incertae Sedis	0.9
e605e27e29dd0e470fe7961974e61a7a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.7
4926f7c8d4a88e2dc426b779457e4964	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9
fdbdfbe714d697265a0ebbee7df873e0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	0.6
c61c8669166b84e054d28b94e274a64f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7777777777777778
9b1707dc1741c29f15e3a93bcee9d61e	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus	1.0
1af4eb1e2c82c55e020e91630d307925	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
43c171c5a1845d1ac3dc762b964f6921	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus	0.6
250ae434718610d409882ad11002f97d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9
2d9b26b59320b37c0abc29d4005e5596	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus	0.8
25c1653a751b87e522eb1d73426f2d0b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
0fbd7a60ee805d9230bf895d65da07de	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	1.0
2ba0671e6e3c53c41c85e7646666eb07	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
c945f996e17eaa20a49f7f32080522a2	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	1.0
f115a8e3255bff43b08f744f27c68c46	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
fb0137d27f104c964b08c8096a67d8c1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	1.0
d0915cfee16c842a9dc507bd35b401c5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
cf2bf6c0d9a1aebde693f860f682d7b1	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Slackia	1.0
7f7b07bcfd5c9196404ed02ef07ada57	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
04863e760cfac55b9b58fbb2f0054d04	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9
973fc25b140faf326d124b9e2b6c8abf	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	1.0
02f0ee6f46fb557154ad44b6666f698a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.6
7c9d107e91d815d347bc278420773c54	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae	1.0
1b4edb753532bc80cc87a0df76769110	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8
050f42778dabd9b5714b301da31745ac	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9
8921861e455889b42cb5a0472820d672	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus	0.6
58a9b72ab4899ab571e77b29cf5a572b	Unassigned	0.0
dd06773f22bc5193e4b519f1eec55c59	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	1.0
46e2d2905040172f9f995c5da95d2c41	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter	0.7
52587fe587b5a2f19c6d2c4bf275d9e3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9
93bbee1f6e9b9fe6dbee9676a8fb28d3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.7
33b19ddc04e29a0f6c55716d40551ec6	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus	1.0
cd5e76dd66c4dd8a7aca90627114073f	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	1.0
5a6f4b8d70e15dc2574f3086c1aca2e1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acetobacter	0.8
26b0599c6f3f889fc1441babff4f74cd	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__Lactococcus lactis	0.7
b6f7e97e1453cd60b48624f824f44a1a	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	1.0
6d57c13bbe5bd3b61cc94ebe3ded329e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus	0.8
fd1b05a3bb5c9987b04a5536c6790e8f	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	0.7
a5d7dbbffd219eb53d7e8b85a2dafddc	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
b9b0d7b986543d8b714fe8b27872d09f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus	0.8
b25515aa021878dc9df04b629e2fe071	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Morganella; s__Morganella morganii	0.6
9a632368713f55e2d25c57d46d4a9321	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Hungateiclostridiaceae	0.6
8e59fef32389c25429e174894ad69fff	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	0.6
ad9eb19e8c285dfa610dc542d2ace2a0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8
26e5532d84cc33496177bec1f06734bc	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Dialister	0.7
58e97aee53994fc4349a16e247fbeab6	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
027057f49d084a31ad01dc3cdfd3b4a8	k__Bacteria; p__Actinobacteria; c__Coriobacteriia	0.8
d800881c005c421b67ba8a1d269edbfc	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelothrix	0.6
68125101a0cb11e3324fde7378226ba1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
0e21cc1bf0d4d2cf722112c5a4ae3134	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	1.0
d092cb433d44be80223a533e9d2e0f8a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	1.0
628c56fc62dba8d05b01cb118cb2d25c	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	1.0
f5b5558fa87f018e0f6efbde53895483	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia	1.0
7ecf8f4557049e5e374e80004fad78fd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9
53e1b633c5fdeb65fac2940f6df4b36d	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae	0.7
d9d27931693077781e8c5d4b1839255b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	1.0
c534f6f611f7464028b46ff36b5350d9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	0.8
581e70b582bd250dac27740ad76c8081	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7777777777777778
a9d2161133afcc8bd34fc1b454382b75	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7
b453b56a3e2a5effb5b6f81a580163b2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	1.0
79d837d6f7b381e0b10331de995bd919	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7
934803a77ecd1236a4aeb148a1133fb2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	1.0
20ec2008e0cde12ae9db741e1fdbf894	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.6
ed3beb4beb76170e062b2266272f4bab	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
ce7260fe3f31c7fa47ae17dc33d2b8f7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	1.0
3569638ef99ff21371c043793343e5aa	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Sporomusaceae	0.6
05f8c43bb34deb40cbcc164e64410db6	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales	1.0
89a195406eb6143d74832533a777e891	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.7
3b55e479207d8024c1b79cc8f8653a29	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7
4ed327cbd63f7814eed36b4ec6894867	k__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus	1.0
3ea5569475b6052ee8202a85d09c3c67	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	1.0
24029c63a36bd5c4de117203045fc346	k__Bacteria; p__Actinobacteria; c__Coriobacteriia	0.6
35855aca2b2e9ee215b3e0878024525d	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Lysinibacillus	0.8
edaa8fc1b61d5baa3fa4cafc95c77692	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7777777777777778
39c4c18f5991a6e365340eb4d1596216	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.9
c4930f1901777d22e03f42d1bd79edcd	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae	0.6
0f80b2df744f7e04b3030dc0edfec3eb	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia	0.6
4ad693ffe6b974add266bba66afd4e0b	k__Bacteria; p__Actinobacteria; c__Coriobacteriia	0.6
01cc6e639515511383f35e5259dd70ea	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae	0.6
932d0c1f666b3a433687e95af993451a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
2660f0d6c89a079968e47e3215ab4bc3	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
c991ea6f3e397244886d943e7ffc9569	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	1.0
7939657876c7074d6907f8e8549a4e31	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus	0.5714285714285714
5585e9ecc7d66b7cd2bc1e2aa80c2470	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Desulfosporosinus	0.7
